ISIN,CFICode,Venue,ContractSize
DE000C4SA5W8,FFICSX,XEUR,25.0
PL0GF0019331,FFICSX,WDER,20.0
O:EVH\U20\12.5,OPASPS,XCBO,100.0
O:MDT\U20\92.5,OPASPS,AMXO,100.0
DE000C5EHKS3,OPASPS,XEUR,100.0
DE000C4SA5W8,FFICSX,XEUR,25.0
PL0GF0019331,FFICSX,WDER,20.0
O:EVH\I20\12.5,OCASPS,XCBO,100.0
DE000C5N1NK0,OPASPS,XEUR,100.0
O:AAPL\H20\415,OCASPS,XCBO,100.0
DE000C5DNJC9,OPEICS,XEUR,10.0
DE000C4SA5W8,FFICSX,XEUR,25.0
DE000C2XTG93,OCASPS,XEUR,100.0
O:EVH\I20\12.5,OCASPS,XCBO,100.0
O:AMAT\I20\75,OCASPS,ARCO,100.0
DE000C4QFCK8,FFDPSX,XEUR,1000.0
O:AAPL\H20\415,OCASPS,XCBO,100.0
DE000C4QFCK8,FFDPSX,XEUR,1000.0
DE000C4SA5W8,FFICSX,XEUR,25.0
O:BZUN\J20\45,OCASPS,XCBO,100.0
O:NPTN\U20\10,OPASPS,XCBO,100.0
DE000C488932,OPEICS,XEUR,5.0
O:MSFT14\T20\215,OPASPS,AMXO,100.0
DE000C2Q0WP2,FFICSX,XEUR,10.0
DE000C5MZY10,OPEICS,XEUR,5.0
O:CRK\U20\6,OPASPS,XCBO,100.0
DE000C4SA5W8,FFICSX,XEUR,25.0
DE000C4QFCK8,FFDPSX,XEUR,1000.0
O:EVH\I20\12.5,OCASPS,XCBO,100.0
DE000C4QFCK8,FFDPSX,XEUR,1000.0
DE000C5GLGC2,OPASPS,XEUR,100.0
O:MSFT14\T20\207.5,OPASPS,AMXO,100.0
O:NPTN\U20\10,OPASPS,XCBO,100.0
O:MSFT14\T20\215,OPASPS,AMXO,100.0
DE000C488940,OPEICS,XEUR,5.0
DE000C4SA5W8,FFICSX,XEUR,25.0
DE000C5JNB32,OCASPS,XEUR,100.0
DE000C4QFCK8,FFDPSX,XEUR,1000.0
PL0GF0019331,FFICSX,WDER,20.0
DE000C5JDW05,OPASPS,XEUR,100.0
O:AMRS\U20\5,OPASPS,XCBO,100.0
DE000C5F9EC9,OCASPS,XEUR,100.0
DE000C4SA5W8,FFICSX,XEUR,25.0
FRENX9166583,OCASPS,XPAR,100.0
DE000C4889E7,OPEICS,XEUR,5.0
DE000C2Q0WP2,FFICSX,XEUR,10.0
IT0014336496,OCASPS,XDMI,1000.0
DE000C4FPQB9,OCEICS,XEUR,10.0
O:EVH\I20\12.5,OCASPS,XCBO,100.0
DE000C4SA5W8,FFICSX,XEUR,25.0
F:ES\U20,FFICSX,XCME,50.0
O:BNTX\U20\65,OPASPS,XCBO,100.0
GB00HF8SC317,FFDPSX,IFLL,1000.0
O:KPTI\U20\15,OPASPS,XCBO,100.0
DE000C4QFCK8,FFDPSX,XEUR,1000.0
DE000C4MFEN7,OCASPS,XEUR,100.0
DE000C4FP8Q2,OPEICS,XEUR,5.0
DE000C4SA7H5,FFICSX,XEUR,10.0
F:VX\V20,FFICSX,XCBF,1000.0
PL0GF0019331,FFICSX,WDER,20.0
O:VYGR\U20\10,OPASPS,XCBO,100.0
O:MDT\T20\105,OPASPS,AMXO,100.0
O:MR\I20\5,OCASPS,XCBO,100.0
O:CRK\U20\6,OPASPS,XCBO,100.0
DE000C4FP9F3,OCEICS,XEUR,5.0
F:ES\U20,FFICSX,XCME,50.0
PL0GF0019331,FFICSX,WDER,20.0
DE000C4SA5W8,FFICSX,XEUR,25.0
O:MSFT14\T20\207.5,OPASPS,AMXO,100.0
IT0016588466,OPASPS,XDMI,100.0
GB00HF8SC317,FFDPSX,IFLL,1000.0
DE000P8BM611,OPEICS,XEUR,5.0
O:MDT\W20\100,OPASPS,AMXO,100.0
O:SPX\V20\2900,OPEICS,XCBO,100.0
O:EVH\I20\12.5,OCASPS,XCBO,100.0
O:CNR\U20\7.5,OPASPS,XCBO,100.0
DE000C5BES32,OCEICS,XEUR,10.0
O:NPTN\U20\10,OPASPS,XCBO,100.0
F:ES\U20,FFICSX,XCME,50.0
PL0GF0019331,FFICSX,WDER,20.0
DE000C4QFCK8,FFDPSX,XEUR,1000.0
DE000C2Q0WP2,FFICSX,XEUR,10.0
O:BZUN\J20\45,OCASPS,XCBO,100.0
O:MSFT14\T20\215,OPASPS,AMXO,100.0
IT0016088657,FFICSX,XDMI,5.0
DE000C5N6V08,OPEICS,XEUR,5.0
O:CRK\U20\6,OPASPS,XCBO,100.0
DE000C5KVX58,OCASPS,XEUR,100.0
PL0GF0019331,FFICSX,WDER,20.0
DE000C4QFCK8,FFDPSX,XEUR,1000.0
PL0GF0019331,FFICSX,WDER,20.0
DE000C4SA5W8,FFICSX,XEUR,25.0
O:BNTX\U20\65,OPASPS,XCBO,100.0
DE000C4QFCK8,FFDPSX,XEUR,1000.0
DE000C0VRX98,OCEICS,XEUR,5.0
DE000C0SZUW7,OCEICS,XEUR,5.0
O:MR\I20\5,OCASPS,XCBO,100.0
F:ES\U20,FFICSX,XCME,50.0
